timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
15954626,-0.000380577,0.000307555,-0.0237993,0.0,0.999929,-0.000188445,0.000156031,-0.0118993,0.49307,-1.0,1,0,0,0,0,0,0
16054576,-0.000422362,0.00029175,-0.0237993,0.0,0.999929,-0.00020943,0.000148378,-0.0118993,0.492761,-1.0,1,0,0,0,0,0,0
16157063,-0.000468376,0.000293116,-0.0237993,0.0,0.999929,-0.000232428,0.000149334,-0.0118993,0.492539,-1.0,1,0,0,0,0,0,0
16259649,-0.000493212,0.000307716,-0.0237993,0.0,0.999929,-0.000244758,0.000156782,-0.0118993,0.492396,-1.0,1,0,0,0,0,0,0
16361882,-0.000503619,0.000331006,-0.0237993,0.0,0.999929,-0.000249822,0.000168488,-0.0118993,0.492305,-1.0,1,0,0,0,0,0,0
16461935,-0.000499147,0.000328848,-0.0237993,0.0,0.999929,-0.000247599,0.000167382,-0.0118993,0.492279,-1.0,1,0,0,0,0,0,0
16564361,-0.000510612,0.000338716,-0.0237993,0.0,0.999929,-0.000253273,0.000172384,-0.0118993,0.492292,-1.0,1,0,0,0,0,0,0
16661925,-0.000510335,0.000357408,-0.0237993,0.0,0.999929,-0.000253023,0.000181728,-0.0118993,0.492342,-1.0,1,0,0,0,0,0,0
16766881,-0.000523374,0.000349042,-0.0237993,0.0,0.999929,-0.000259592,0.000177622,-0.0118993,0.492428,-1.0,1,0,0,0,0,0,0
16867006,-0.000520219,0.000322628,-0.0237993,0.0,0.999929,-0.000258171,0.000164398,-0.0118993,0.49254,-1.0,1,0,0,0,0,0,0
16966677,-0.000514066,0.000317717,-0.0237993,0.0,0.999929,-0.000255124,0.000161906,-0.0118993,0.49266,-1.0,1,0,0,0,0,0,0
17071705,-0.000500434,0.000325525,-0.0237993,0.0,0.999929,-0.000248263,0.000165728,-0.0118993,0.492812,-1.0,1,0,0,0,0,0,0
17171658,-0.000504146,0.000309582,-0.0237993,0.0,0.999929,-0.000250213,0.000157779,-0.0118993,0.492973,-1.0,1,0,0,0,0,0,0
17274172,-0.000517637,0.000312399,-0.0237993,0.0,0.999929,-0.000256941,0.000159268,-0.0118993,0.493147,-1.0,1,0,0,0,0,0,0
17376666,-0.000520908,0.000325068,-0.0237993,0.0,0.999929,-0.000258502,0.000165622,-0.0118993,0.493328,-1.0,1,0,0,0,0,0,0
17473784,-0.000519284,0.000343091,-0.0237993,0.0,0.999929,-0.000257583,0.000174623,-0.0118993,0.493501,-1.0,1,0,0,0,0,0,0
17578816,-0.000525311,0.000363637,-0.0237993,0.0,0.999929,-0.000260473,0.000184931,-0.0118993,0.493702,-1.0,1,0,0,0,0,0,0
17681269,-0.000526122,0.000352955,-0.0237993,0.0,0.999929,-0.000260943,0.000179595,-0.0118993,0.493897,-1.0,1,0,0,0,0,0,0
17781277,-0.000539984,0.000328345,-0.0237993,0.0,0.999929,-0.000268019,0.000167374,-0.0118993,0.494083,-1.0,1,0,0,0,0,0,0
17883823,-0.000558107,0.000288679,-0.0237993,0.0,0.999929,-0.000277316,0.00014765,-0.0118993,0.494276,-1.0,1,0,0,0,0,0,0
17983783,-0.00056453,0.000248489,-0.0237993,0.0,0.999929,-0.000280766,0.000127594,-0.0118993,0.494461,-1.0,1,0,0,0,0,0,0
18086223,-0.00058214,0.00023105,-0.0237993,0.0,0.999929,-0.000289675,0.00011898,-0.0118993,0.494651,-1.0,1,0,0,0,0,0,0
18188722,-0.000606445,0.000230808,-0.0237993,0.0,0.999929,-0.000301828,0.000119004,-0.0118993,0.494836,-1.0,1,0,0,0,0,0,0
18286015,-0.000633451,0.000242026,-0.0237993,0.0,0.999929,-0.000315263,0.000124773,-0.0118993,0.495006,-1.0,1,0,0,0,0,0,0
18390909,-0.000659877,0.000255241,-0.0237993,0.0,0.999929,-0.000328397,0.000131537,-0.0118993,0.495185,-1.0,1,0,0,0,0,0,0
18490579,-0.000668507,0.000247126,-0.0237993,0.0,0.999929,-0.000332759,0.000127532,-0.0118993,0.495353,-1.0,1,0,0,0,0,0,0
18590591,-0.00066048,0.000220108,-0.0237993,0.0,0.999929,-0.000328907,0.000113976,-0.0118993,0.495516,-1.0,1,0,0,0,0,0,0
18695654,-0.000641061,0.000179063,-0.0237993,0.0,0.999929,-0.000319442,9.33393e-05,-0.0118993,0.495684,1.0,1,0,0,0,0,0,0
18793153,-0.000620686,0.000137247,-0.0237993,0.0,0.999929,-0.000309504,7.23117e-05,-0.0118993,0.495836,1.0,1,0,0,0,0,0,0
18898175,-0.000595578,9.96044e-05,-0.0237993,0.0,0.999929,-0.000297175,5.33422e-05,-0.0118993,0.495997,1.0,1,0,0,0,0,0,0
19000636,-0.000577363,8.95371e-05,-0.0237993,0.0,0.999929,-0.000288128,4.82005e-05,-0.0118993,0.496151,1.0,1,0,0,0,0,0,0
19101812,-0.000571358,8.51224e-05,-0.0237993,0.0,0.999929,-0.000285152,4.59576e-05,-0.0118993,0.496303,1.0,1,0,0,0,0,0,0
19199277,-0.000564771,6.73655e-05,-0.0237993,0.0,0.999929,-0.000281965,3.70406e-05,-0.0118993,0.496447,1.0,1,0,0,0,0,0,0
19301444,-0.000564841,4.96772e-05,-0.0237993,0.0,0.999929,-0.000282105,2.81974e-05,-0.0118993,0.496594,1.0,1,0,0,0,0,0,0
19406438,-0.000564678,5.47964e-05,-0.0237993,0.0,0.999929,-0.000281993,3.07559e-05,-0.0118993,0.496737,1.0,1,0,0,0,0,0,0
19506456,-0.000578218,7.39474e-05,-0.0237993,0.0,0.999929,-0.000288648,4.04113e-05,-0.0118993,0.496869,1.0,1,0,0,0,0,0,0
19608940,-0.000590059,8.77189e-05,-0.0237993,0.0,0.999929,-0.000294487,4.7367e-05,-0.0118993,0.497,1.0,1,0,0,0,0,0,0
19708942,-0.000592061,8.2594e-05,-0.0237993,0.0,0.999929,-0.000295518,4.48166e-05,-0.0118993,0.497122,1.0,1,0,0,0,0,0,0
19808963,-0.000585327,7.69601e-05,-0.0237993,0.0,0.999929,-0.000292185,4.19598e-05,-0.0118993,0.497239,1.0,1,0,0,0,0,0,0
19914010,-0.000570085,8.97347e-05,-0.0237993,0.0,0.999929,-0.000284489,4.8256e-05,-0.0118993,0.497356,1.0,1,0,0,0,0,0,0
20013890,-0.00056547,0.000111755,-0.0237993,0.0,0.999929,-0.00028205,5.92378e-05,-0.0118993,0.497466,1.0,1,0,0,0,0,0,0
20113991,-0.000573749,0.000143016,-0.0237993,0.0,0.999929,-0.000286003,7.49165e-05,-0.0118993,0.497567,1.0,1,0,0,0,0,0,0
20218803,-0.000581383,0.000161188,-0.0237993,0.0,0.999929,-0.000289712,8.40472e-05,-0.0118993,0.49767,1.0,1,0,0,0,0,0,0
20318723,-0.000580906,0.000156944,-0.0237993,0.0,0.999929,-0.000289499,8.19226e-05,-0.0118993,0.497765,1.0,1,0,0,0,0,0,0
20421284,-0.000570217,0.000135785,-0.0237993,0.0,0.999929,-0.000284281,7.12802e-05,-0.0118993,0.497857,1.0,1,0,0,0,0,0,0
20518802,-0.000556745,0.000122956,-0.0237993,0.0,0.999929,-0.000277621,6.47862e-05,-0.0118993,0.497942,1.0,1,0,0,0,0,0,0
20623766,-0.0005358,0.000108998,-0.0237993,0.0,0.999929,-0.000267233,5.76828e-05,-0.0118993,0.498027,1.0,1,0,0,0,0,0,0
20726270,-0.000532341,0.000103085,-0.0237993,0.0,0.999929,-0.000265538,5.4706e-05,-0.0118993,0.498112,1.0,1,0,0,0,0,0,0
20826244,-0.000541597,9.49459e-05,-0.0237993,0.0,0.999929,-0.000270215,5.06919e-05,-0.0118993,0.498185,1.0,1,0,0,0,0,0,0
20928734,-0.000550267,7.45377e-05,-0.0237993,0.0,0.999929,-0.00027467,4.05401e-05,-0.0118993,0.498259,1.0,1,0,0,0,0,0,0
21030741,-0.000561855,6.24289e-05,-0.0237993,0.0,0.999929,-0.000280536,3.45551e-05,-0.0118993,0.498329,1.0,1,0,0,0,0,0,0
21127878,-0.000582069,5.06412e-05,-0.0237993,0.0,0.999929,-0.000290713,2.87819e-05,-0.0118993,0.49839,1.0,1,0,0,0,0,0,0
21230371,-0.000596319,2.83366e-05,-0.0237993,0.0,0.999929,-0.00029797,1.77152e-05,-0.0118993,0.498459,1.0,1,0,0,0,0,0,0
21335308,-0.000601033,-1.86482e-06,-0.0237993,0.0,0.999929,-0.000300506,2.64361e-06,-0.0118994,0.498525,1.0,1,0,0,0,0,0,0
21435382,-0.000594035,-1.38421e-05,-0.0237993,0.0,0.999929,-0.000297079,-3.38623e-06,-0.0118994,0.498584,1.0,1,0,0,0,0,0,0
21537829,-0.000597606,-5.14043e-06,-0.0237993,0.0,0.999929,-0.000298812,9.85528e-07,-0.0118994,0.498643,1.0,1,0,0,0,0,0,0
21635393,-0.000613627,1.62593e-05,-0.0237993,0.0,0.999929,-0.000306695,1.178e-05,-0.0118994,0.498698,1.0,1,0,0,0,0,0,0
21737867,-0.000623829,5.03416e-05,-0.0237993,0.0,0.999929,-0.000311593,2.88806e-05,-0.0118993,0.498749,1.0,1,0,0,0,0,0,0
21842961,-0.000621915,6.6361e-05,-0.0237993,0.0,0.999929,-0.00031054,3.68783e-05,-0.0118993,0.498802,1.0,1,0,0,0,0,0,0
21940004,-0.00062932,6.20919e-05,-0.0237993,0.0,0.999929,-0.000314268,3.4788e-05,-0.0118993,0.498848,1.0,1,0,0,0,0,0,0
22044746,-0.0006311,4.48788e-05,-0.0237993,0.0,0.999929,-0.000315261,2.61926e-05,-0.0118993,0.498895,1.0,1,0,0,0,0,0,0
22144783,-0.00064081,3.97796e-05,-0.0237993,0.0,0.999929,-0.000320145,2.3701e-05,-0.0118993,0.498937,1.0,1,0,0,0,0,0,0
22246912,-0.00062459,-0.000647507,-0.0237993,0.0,0.999929,-0.000316125,-0.000320015,-0.0118995,0.498934,1.0,1,0,0,0,0,0,0
22346960,-0.000538089,-0.00360315,-0.0237993,0.0,0.999928,-0.000290462,-0.00179825,-0.0118998,0.4987,1.0,1,0,0,0,0,0,0
22451951,-0.000374802,-0.00983569,-0.0237993,0.0,0.999917,-0.000245905,-0.00491525,-0.0119001,0.498068,1.0,1,0,0,0,0,0,0
22549432,-0.000151287,-0.018663,-0.0237993,0.0,0.999886,-0.000186672,-0.00932982,-0.0118995,0.497073,1.0,1,0,0,0,0,0,0
22654458,0.000172068,-0.0314494,-0.0237993,0.0,0.999806,-0.000101089,-0.015724,-0.0118965,0.495521,1.0,1,0,0,0,0,0,0
22751964,0.000570902,-0.0464198,-0.0237993,0.0,0.99966,9.19596e-06,-0.0232096,-0.0118895,0.493567,1.0,1,0,0,0,0,0,0
22856984,0.00110133,-0.0658057,-0.0237993,0.0,0.999388,0.000158878,-0.0329011,-0.0118748,0.49084,1.0,1,0,0,0,0,0,0
22959412,0.00171846,-0.0880768,-0.0237993,0.0,0.99896,0.000334478,-0.0440313,-0.01185,0.487459,1.0,1,0,0,0,0,0,0
23059471,0.00242159,-0.113156,-0.0237993,0.0,0.998329,0.00053589,-0.0565582,-0.0118118,0.483358,1.0,1,0,0,0,0,0,0
23159466,0.00318958,-0.141359,-0.0237993,0.0,0.997433,0.000750354,-0.0706347,-0.011757,0.478382,1.0,1,0,0,0,0,0,0
23261906,0.00407155,-0.173541,-0.0237993,0.0,0.996167,0.000996756,-0.0866795,-0.0116781,0.472262,1.0,1,0,0,0,0,0,0
23364495,0.00501689,-0.208756,-0.0237993,0.0,0.994487,0.00125484,-0.104211,-0.0115732,0.465022,1.0,1,0,0,0,0,0,0
23467006,0.00602756,-0.247133,-0.0237993,0.0,0.992305,0.00152397,-0.123279,-0.0114371,0.456543,1.0,1,0,0,0,0,0,0
23566957,0.00708894,-0.287283,-0.0237993,0.0,0.989631,0.00180436,-0.143179,-0.0112694,0.447004,1.0,1,0,0,0,0,0,0
23669489,0.00821783,-0.330845,-0.0237993,0.0,0.986279,0.00209309,-0.164704,-0.0110603,0.435814,1.0,1,0,0,0,0,0,0
23769487,0.00935972,-0.375259,-0.0237993,0.0,0.982379,0.00237781,-0.18657,-0.0108175,0.423419,1.0,1,0,0,0,0,0,0
23869447,0.0105278,-0.421248,-0.0237993,0.0,0.977831,0.0026594,-0.209114,-0.0105358,0.40946,1.0,1,0,0,0,0,0,0
23974443,0.0117646,-0.470915,-0.0237993,0.0,0.972338,0.00294361,-0.233336,-0.0101987,0.393042,1.0,1,0,0,0,0,0,0
24074502,0.0129075,-0.518882,-0.0237993,0.0,0.966465,0.00318469,-0.256591,-0.00984536,0.375644,1.0,1,0,0,0,0,0,0
24174440,0.014004,-0.566864,-0.0237993,0.0,0.960033,0.00339452,-0.279705,-0.00946633,0.356408,1.0,1,0,0,0,0,0,0
24276992,0.0151015,-0.615805,-0.0237993,0.0,0.952904,0.00358897,-0.303116,-0.00905126,0.334655,1.0,1,0,0,0,0,0,0
24376963,0.016116,-0.662859,-0.0237993,0.0,0.945512,0.00374698,-0.325452,-0.00862958,0.311522,1.0,1,0,0,0,0,0,0
24479416,0.0170823,-0.709372,-0.0237993,0.0,0.93769,0.0038764,-0.347354,-0.00819221,0.285707,1.0,1,0,0,0,0,0,0
24581913,0.0179779,-0.754681,-0.0237993,0.0,0.929584,0.00397173,-0.368508,-0.00775006,0.257611,1.0,1,0,0,0,0,0,0
24684437,0.0185525,-0.785226,-0.0237993,0.0,0.92385,0.00401719,-0.382662,-0.00744465,0.233047,1.0,1,0,0,0,0,0,0
24781932,0.0185416,-0.785226,-0.0237993,0.0,0.92385,0.00401214,-0.382662,-0.00744674,0.221627,1.0,1,0,0,0,0,0,0
24884454,0.018521,-0.785227,-0.0237993,0.0,0.923849,0.00400264,-0.382662,-0.00745067,0.209582,1.0,1,0,0,0,0,0,0
24987760,0.0184909,-0.785227,-0.0237993,0.0,0.923849,0.00398873,-0.382663,-0.00745643,0.197374,1.0,1,0,0,0,0,0,0
25087532,0.0184466,-0.785228,-0.0237993,0.0,0.923849,0.00396826,-0.382663,-0.0074649,0.185516,1.0,1,0,0,0,0,0,0
25190050,0.0184082,-0.785229,-0.0237993,0.0,0.923849,0.00395048,-0.382663,-0.00747226,0.173174,1.0,1,0,0,0,0,0,0
25290193,0.0183553,-0.78523,-0.0237993,0.0,0.923849,0.00392606,-0.382663,-0.00748236,0.161032,1.0,1,0,0,0,0,0,0
25392157,0.0182956,-0.785231,-0.0237993,0.0,0.923849,0.00389848,-0.382664,-0.00749378,0.148621,-1.0,1,0,0,0,0,0,0
25496707,0.018233,-0.785232,-0.0237993,0.0,0.923849,0.00386953,-0.382664,-0.00750576,0.135844,-1.0,1,0,0,0,0,0,0
25594205,0.0181732,-0.785233,-0.0237993,0.0,0.923849,0.0038419,-0.382664,-0.00751719,0.123697,-1.0,1,0,0,0,0,0,0
25699145,0.0181046,-0.785234,-0.0237993,0.0,0.923849,0.00381021,-0.382664,-0.00753031,0.12,-1.0,1,0,0,0,0,0,0
25799161,0.0180421,-0.785235,-0.0237993,0.0,0.923849,0.00378135,-0.382665,-0.00754225,0.12,-1.0,1,0,0,0,0,0,0
25898712,0.017969,-0.785237,-0.0237993,0.0,0.923849,0.00374758,-0.382665,-0.00755622,0.12,-1.0,1,0,0,0,0,0,0
26001726,0.017899,-0.785238,-0.0237993,0.0,0.923849,0.00371523,-0.382665,-0.00756961,0.12,-1.0,1,0,0,0,0,0,0
26103906,0.0178262,-0.785239,-0.0237993,0.0,0.923848,0.00368157,-0.382666,-0.00758354,0.12,-1.0,1,0,0,0,0,0,0
26205517,0.017765,-0.78524,-0.0237993,0.0,0.923848,0.00365331,-0.382666,-0.00759524,0.12,-1.0,1,0,0,0,0,0,0
26305499,0.017699,-0.785242,-0.0237993,0.0,0.923848,0.00362281,-0.382666,-0.00760786,0.12,-1.0,1,0,0,0,0,0,0
26408021,0.0176328,-0.785243,-0.0237993,0.0,0.923848,0.0035922,-0.382667,-0.00762053,0.12,-1.0,1,0,0,0,0,0,0
26507775,0.0175746,-0.785244,-0.0237993,0.0,0.923848,0.00356533,-0.382667,-0.00763165,0.12,-1.0,1,0,0,0,0,0,0
26612744,0.0175129,-0.785245,-0.0237993,0.0,0.923848,0.00353683,-0.382667,-0.00764344,0.12,-1.0,1,0,0,0,0,0,0
26714631,0.0174514,-0.785246,-0.0237993,0.0,0.923848,0.00350841,-0.382667,-0.0076552,0.12,-1.0,1,0,0,0,0,0,0
26812147,0.0173945,-0.785247,-0.0237993,0.0,0.923848,0.00348209,-0.382668,-0.00766609,0.12,-1.0,1,0,0,0,0,0,0
26917096,0.0173354,-0.785248,-0.0237993,0.0,0.923848,0.00345482,-0.382668,-0.00767738,0.12,-1.0,1,0,0,0,0,0,0
